Input	Match type	Approved symbol	Approved name	HGNC ID	Location
A2LD1	Previous symbol	GGACT	gamma-glutamylamine cyclotransferase	HGNC:25100	13q32.3
ABP1	Previous symbol	AOC1	amine oxidase, copper containing 1	HGNC:80	7q36.1
ACCN1	Previous symbol	ASIC2	acid sensing ion channel subunit 2	HGNC:99	17q11.2-q12
ACCN2	Previous symbol	ASIC1	acid sensing ion channel subunit 1	HGNC:100	12q12
ACCN3	Previous symbol	ASIC3	acid sensing ion channel subunit 3	HGNC:101	7q35
ACCN4	Previous symbol	ASIC4	acid sensing ion channel subunit family member 4	HGNC:21263	2q36.1
ACCN5	Previous symbol	ASIC5	acid sensing ion channel subunit family member 5	HGNC:17537	4q32.1
ACN9	Previous symbol	SDHAF3	succinate dehydrogenase complex assembly factor 3	HGNC:21752	7q22.1
ACPL2	Previous symbol	PXYLP1	2-phosphoxylose phosphatase 1	HGNC:26303	3q23
ADC	Previous symbol	AZIN2	antizyme inhibitor 2	HGNC:29957	1p35.1
ADCY3	Previous symbol	ADCY8	adenylate cyclase 8 (brain)	HGNC:239	8q24
AGAP7	Previous symbol	AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	HGNC:23465	10q11.22
AGAP8	Previous symbol	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	HGNC:23459	10q11.21
AGPAT6	Previous symbol	GPAT4	glycerol-3-phosphate acyltransferase 4	HGNC:20880	8p11.21
AGPAT9	Previous symbol	GPAT3	glycerol-3-phosphate acyltransferase 3	HGNC:28157	4q21.23
AGPHD1	Previous symbol	HYKK	hydroxylysine kinase	HGNC:34403	15q25.1
AGXT2L1	Previous symbol	ETNPPL	ethanolamine-phosphate phospho-lyase	HGNC:14404	4q25
AGXT2L2	Previous symbol	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	HGNC:28249	5q35.3
AK3	Previous symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AK3L1	Previous symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AK3L1	Previous symbol	AK3	adenylate kinase 3	HGNC:17376	9p24.1
AKD1	Previous symbol	AK9	adenylate kinase 9	HGNC:33814	6q21
ALS2CR4	Previous symbol	TMEM237	transmembrane protein 237	HGNC:14432	2q33
ALS2CR8	Previous symbol	CARF	calcium responsive transcription factor	HGNC:14435	2q33.3
AMAC1	Previous symbol	SLC35G3	solute carrier family 35 member G3	HGNC:26848	17q21.1
AMAC1L2	Previous symbol	SLC35G5	solute carrier family 35 member G5	HGNC:15546	8p23.1
AMAC1L3	Previous symbol	SLC35G6	solute carrier family 35 member G6	HGNC:31351	17p13.1
AMICA1	Previous symbol	JAML	junction adhesion molecule like	HGNC:19084	11q23.3
ANKRD32	Previous symbol	SLF1	SMC5-SMC6 complex localization factor 1	HGNC:25408	5q15
ANKRD43	Previous symbol	SOWAHA	sosondowah ankyrin repeat domain family member A	HGNC:27033	5q23.3
ANKRD5	Previous symbol	ANKEF1	ankyrin repeat and EF-hand domain containing 1	HGNC:15803	20p12.2
ANKRD56	Previous symbol	SOWAHB	sosondowah ankyrin repeat domain family member B	HGNC:32958	4q21.1
ANKRD57	Previous symbol	SOWAHC	sosondowah ankyrin repeat domain family member C	HGNC:26149	2q13
ANKRD58	Previous symbol	SOWAHD	sosondowah ankyrin repeat domain family member D	HGNC:32960	Xq24
ANUBL1	Previous symbol	ZFAND4	zinc finger AN1-type containing 4	HGNC:23504	10q11.22
ANXA8L2	Previous symbol	ANXA8L1	annexin A8-like 1	HGNC:23334	10q11.22
APOA1BP	Previous symbol	NAXE	NAD(P)HX epimerase	HGNC:18453	1q21
APPL2	Previous symbol	APLP2	amyloid beta precursor like protein 2	HGNC:598	11q24
ARFGAP1	Previous symbol	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	HGNC:661	22q13.2
ATP2B2	Previous symbol	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	HGNC:817	1q32.1
ATPBD4	Previous symbol	DPH6	diphthamine biosynthesis 6	HGNC:30543	15q14
AZI1	Previous symbol	CEP131	centrosomal protein 131	HGNC:29511	17q25.3
B3GALTL	Previous symbol	B3GLCT	beta 3-glucosyltransferase	HGNC:20207	13q12.3
B3GNT1	Previous symbol	B4GAT1	beta-1,4-glucuronyltransferase 1	HGNC:15685	11q13.2
B3GNT1	Previous symbol	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	HGNC:15629	2p15
B3GNT6	Previous symbol	B4GAT1	beta-1,4-glucuronyltransferase 1	HGNC:15685	11q13.2
BAI1	Previous symbol	ADGRB1	adhesion G protein-coupled receptor B1	HGNC:943	8q24.3
BAI2	Previous symbol	ADGRB2	adhesion G protein-coupled receptor B2	HGNC:944	1p35
BAI3	Previous symbol	ADGRB3	adhesion G protein-coupled receptor B3	HGNC:945	6q12
BAT1	Previous symbol	DDX39B	DEAD-box helicase 39B	HGNC:13917	6p21.33
BAT2	Previous symbol	PRRC2A	proline rich coiled-coil 2A	HGNC:13918	6p21.3
BAT2L1	Previous symbol	PRRC2B	proline rich coiled-coil 2B	HGNC:28121	9q34.13
BAT2L2	Previous symbol	PRRC2C	proline rich coiled-coil 2C	HGNC:24903	1q24.3
BAT3	Previous symbol	BAG6	BCL2 associated athanogene 6	HGNC:13919	6p21.3
BAT4	Previous symbol	GPANK1	G-patch domain and ankyrin repeats 1	HGNC:13920	6p21.3
BAT5	Previous symbol	ABHD16A	abhydrolase domain containing 16A	HGNC:13921	6p21.3
BCMO1	Previous symbol	BCO1	beta-carotene oxygenase 1	HGNC:13815	16q23.2
BCORL2	Previous symbol	BCORP1	BCL6 corepressor pseudogene 1	HGNC:23953	Yq11.222
BET3L	Previous symbol	TRAPPC3L	trafficking protein particle complex 3 like	HGNC:21090	6q22.31
BOD1L	Previous symbol	BOD1L1	biorientation of chromosomes in cell division 1 like 1	HGNC:31792	4p16.1
BPIL1	Previous symbol	BPIFB2	BPI fold containing family B member 2	HGNC:16177	20q11.21
BPIL2	Previous symbol	BPIFC	BPI fold containing family C	HGNC:16503	22q12.3
BPIL3	Previous symbol	BPIFB6	BPI fold containing family B member 6	HGNC:16504	20q11.21
BRAF	Previous symbol	BRAF	B-Raf proto-oncogene, serine/threonine kinase	HGNC:1097	7q34
BRF1	Previous symbol	ZFP36L1	ZFP36 ring finger protein-like 1	HGNC:1107	14q24.1
BRF2	Previous symbol	ZFP36L2	ZFP36 ring finger protein-like 2	HGNC:1108	2p22.3-p21
BRMS1	Previous symbol	BRMS1L	breast cancer metastasis-suppressor 1-like	HGNC:20512	14q13.1
BRP44	Previous symbol	MPC2	mitochondrial pyruvate carrier 2	HGNC:24515	1q24
BRP44L	Previous symbol	MPC1	mitochondrial pyruvate carrier 1	HGNC:21606	6q27
BTBD12	Previous symbol	SLX4	SLX4 structure-specific endonuclease subunit	HGNC:23845	16p13.3
BZRAP1	Previous symbol	TSPOAP1	TSPO associated protein 1	HGNC:16831	17q22
C10orf114	Previous symbol	CASC10	cancer susceptibility candidate 10	HGNC:31448	10p12.31
C10orf116	Previous symbol	ADIRF	adipogenesis regulatory factor	HGNC:24043	10q23.31
C10orf118	Previous symbol	CCDC186	coiled-coil domain containing 186	HGNC:24349	10q26.11
C10orf119	Previous symbol	MCMBP	minichromosome maintenance complex binding protein	HGNC:25782	10q26.13
C10orf122	Previous symbol	TEX36	testis expressed 36	HGNC:31653	10q26.13
C10orf125	Previous symbol	FUOM	fucose mutarotase	HGNC:24733	10q26.3
C10orf129	Previous symbol	ACSM6	acyl-CoA synthetase medium-chain family member 6	HGNC:31665	10q23.33
C10orf137	Previous symbol	EDRF1	erythroid differentiation regulatory factor 1	HGNC:24640	10q26.2
C10orf140	Previous symbol	SKIDA1	SKI/DACH domain containing 1	HGNC:32697	10p12.31
C10orf18	Previous symbol	FAM208B	family with sequence similarity 208 member B	HGNC:23484	10p15.1
C10orf26	Previous symbol	WBP1L	WW domain binding protein 1-like	HGNC:23510	10q24.33
